Sector económico;Sexo;Comunidades y Ciudades Autónomas;Periodo;Total
Total;Ambos sexos;Total Nacional;2025T3;22.387,1
Total;Ambos sexos;Total Nacional;2025T2;22.268,7
Total;Ambos sexos;Total Nacional;2025T1;21.765,4
Total;Ambos sexos;Total Nacional;2024T4;21.857,9
Total;Ambos sexos;Total Nacional;2024T3;21.823,0
Total;Ambos sexos;Total Nacional;2024T2;21.684,7
Total;Ambos sexos;Total Nacional;2024T1;21.250,0
Total;Ambos sexos;Total Nacional;2023T4;21.389,7
Total;Ambos sexos;Total Nacional;2023T3;21.446,5
Total;Ambos sexos;Total Nacional;2023T2;21.258,4
Total;Ambos sexos;Total Nacional;2023T1;20.634,2
Total;Ambos sexos;Total Nacional;2022T4;20.640,7
Total;Ambos sexos;Total Nacional;2022T3;20.745,4
Total;Ambos sexos;Total Nacional;2022T2;20.607,2
Total;Ambos sexos;Total Nacional;2022T1;20.196,7
Total;Ambos sexos;Total Nacional;2021T4;20.274,8
Total;Ambos sexos;Total Nacional;2021T3;20.103,3
Total;Ambos sexos;Total Nacional;2021T2;19.716,1
Total;Ambos sexos;Total Nacional;2021T1;19.239,6
Total;Ambos sexos;Total Nacional;2020T4;19.344,3
Total;Ambos sexos;Total Nacional;2020T3;19.176,9
Total;Ambos sexos;Total Nacional;2020T2;18.607,2
Total;Ambos sexos;Total Nacional;2020T1;19.681,3
Total;Ambos sexos;Total Nacional;2019T4;19.966,9
Total;Ambos sexos;Total Nacional;2019T3;19.874,3
Total;Ambos sexos;Total Nacional;2019T2;19.804,9
Total;Ambos sexos;Total Nacional;2019T1;19.471,1
Total;Ambos sexos;Total Nacional;2018T4;19.564,6
Total;Ambos sexos;Total Nacional;2018T3;19.528,0
Total;Ambos sexos;Total Nacional;2018T2;19.344,1
Total;Ambos sexos;Total Nacional;2018T1;18.874,2
Total;Ambos sexos;Total Nacional;2017T4;18.998,4
Total;Ambos sexos;Total Nacional;2017T3;19.049,2
Total;Ambos sexos;Total Nacional;2017T2;18.813,3
Total;Ambos sexos;Total Nacional;2017T1;18.438,3
Total;Ambos sexos;Total Nacional;2016T4;18.508,1
Total;Ambos sexos;Total Nacional;2016T3;18.527,5
Total;Ambos sexos;Total Nacional;2016T2;18.301,0
Total;Ambos sexos;Total Nacional;2016T1;18.029,6
Total;Ambos sexos;01 Andalucía;2025T3;3.612,2
Total;Ambos sexos;01 Andalucía;2025T2;3.546,7
Total;Ambos sexos;01 Andalucía;2025T1;3.476,1
Total;Ambos sexos;01 Andalucía;2024T4;3.488,5
