Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;Total;2025T3;53,10
Ambos sexos;Total Nacional;Total;2025T2;52,96
Ambos sexos;Total Nacional;Total;2025T1;51,92
Ambos sexos;Total Nacional;Total;2024T4;52,28
Ambos sexos;Total Nacional;Total;2024T3;52,42
Ambos sexos;Total Nacional;Total;2024T2;52,26
Ambos sexos;Total Nacional;Total;2024T1;51,42
Ambos sexos;Total Nacional;Total;2023T4;51,89
Ambos sexos;Total Nacional;Total;2023T3;52,24
Ambos sexos;Total Nacional;Total;2023T2;51,99
Ambos sexos;Total Nacional;Total;2023T1;50,62
Ambos sexos;Total Nacional;Total;2022T4;50,82
Ambos sexos;Total Nacional;Total;2022T3;51,28
Ambos sexos;Total Nacional;Total;2022T2;51,16
Ambos sexos;Total Nacional;Total;2022T1;50,34
Ambos sexos;Total Nacional;Total;2021T4;50,67
Ambos sexos;Total Nacional;Total;2021T3;50,33
Ambos sexos;Total Nacional;Total;2021T2;49,43
Ambos sexos;Total Nacional;Total;2021T1;48,27
Ambos sexos;Total Nacional;Total;2020T4;48,81
Ambos sexos;Total Nacional;Total;2020T3;48,43
Ambos sexos;Total Nacional;Total;2020T2;47,03
Ambos sexos;Total Nacional;Total;2020T1;49,80
Ambos sexos;Total Nacional;Total;2019T4;50,64
Ambos sexos;Total Nacional;Total;2019T3;50,54
Ambos sexos;Total Nacional;Total;2019T2;50,51
Ambos sexos;Total Nacional;Total;2019T1;49,78
Ambos sexos;Total Nacional;Total;2018T4;50,14
Ambos sexos;Total Nacional;Total;2018T3;50,18
Ambos sexos;Total Nacional;Total;2018T2;49,81
Ambos sexos;Total Nacional;Total;2018T1;48,67
Ambos sexos;Total Nacional;Total;2017T4;49,07
Ambos sexos;Total Nacional;Total;2017T3;49,27
Ambos sexos;Total Nacional;Total;2017T2;48,70
Ambos sexos;Total Nacional;Total;2017T1;47,76
Ambos sexos;Total Nacional;Total;2016T4;47,97
Ambos sexos;Total Nacional;Total;2016T3;48,07
Ambos sexos;Total Nacional;Total;2016T2;47,53
Ambos sexos;Total Nacional;Total;2016T1;46,84
Ambos sexos;Total Nacional;Menores de 25 años;2025T3;30,57
Ambos sexos;Total Nacional;Menores de 25 años;2025T2;28,56
Ambos sexos;Total Nacional;Menores de 25 años;2025T1;25,88
Ambos sexos;Total Nacional;Menores de 25 años;2024T4;27,24
Ambos sexos;Total Nacional;Menores de 25 años;2024T3;29,86
Ambos sexos;Total Nacional;Menores de 25 años;2024T2;27,41
Ambos sexos;Total Nacional;Menores de 25 años;2024T1;25,99
