Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;Total;2025T3;10,45
Ambos sexos;Total Nacional;Total;2025T2;10,29
Ambos sexos;Total Nacional;Total;2025T1;11,36
Ambos sexos;Total Nacional;Total;2024T4;10,61
Ambos sexos;Total Nacional;Total;2024T3;11,21
Ambos sexos;Total Nacional;Total;2024T2;11,27
Ambos sexos;Total Nacional;Total;2024T1;12,29
Ambos sexos;Total Nacional;Total;2023T4;11,80
Ambos sexos;Total Nacional;Total;2023T3;11,89
Ambos sexos;Total Nacional;Total;2023T2;11,67
Ambos sexos;Total Nacional;Total;2023T1;13,38
Ambos sexos;Total Nacional;Total;2022T4;12,99
Ambos sexos;Total Nacional;Total;2022T3;12,73
Ambos sexos;Total Nacional;Total;2022T2;12,69
Ambos sexos;Total Nacional;Total;2022T1;13,73
Ambos sexos;Total Nacional;Total;2021T4;13,44
Ambos sexos;Total Nacional;Total;2021T3;14,71
Ambos sexos;Total Nacional;Total;2021T2;15,39
Ambos sexos;Total Nacional;Total;2021T1;16,14
Ambos sexos;Total Nacional;Total;2020T4;16,13
Ambos sexos;Total Nacional;Total;2020T3;16,26
Ambos sexos;Total Nacional;Total;2020T2;15,33
Ambos sexos;Total Nacional;Total;2020T1;14,41
Ambos sexos;Total Nacional;Total;2019T4;13,78
Ambos sexos;Total Nacional;Total;2019T3;13,92
Ambos sexos;Total Nacional;Total;2019T2;14,02
Ambos sexos;Total Nacional;Total;2019T1;14,70
Ambos sexos;Total Nacional;Total;2018T4;14,45
Ambos sexos;Total Nacional;Total;2018T3;14,55
Ambos sexos;Total Nacional;Total;2018T2;15,28
Ambos sexos;Total Nacional;Total;2018T1;16,74
Ambos sexos;Total Nacional;Total;2017T4;16,55
Ambos sexos;Total Nacional;Total;2017T3;16,38
Ambos sexos;Total Nacional;Total;2017T2;17,22
Ambos sexos;Total Nacional;Total;2017T1;18,75
Ambos sexos;Total Nacional;Total;2016T4;18,63
Ambos sexos;Total Nacional;Total;2016T3;18,91
Ambos sexos;Total Nacional;Total;2016T2;20,00
Ambos sexos;Total Nacional;Total;2016T1;21,00
Ambos sexos;Total Nacional;Menores de 25 años;2025T3;25,42
Ambos sexos;Total Nacional;Menores de 25 años;2025T2;24,54
Ambos sexos;Total Nacional;Menores de 25 años;2025T1;26,53
Ambos sexos;Total Nacional;Menores de 25 años;2024T4;24,90
Ambos sexos;Total Nacional;Menores de 25 años;2024T3;26,89
Ambos sexos;Total Nacional;Menores de 25 años;2024T2;26,58
Ambos sexos;Total Nacional;Menores de 25 años;2024T1;27,70
Ambos sexos;Total Nacional;Menores de 25 años;2023T4;28,52
Ambos sexos;Total Nacional;Menores de 25 años;2023T3;28,28
Ambos sexos;Total Nacional;Menores de 25 años;2023T2;28,12
Ambos sexos;Total Nacional;Menores de 25 años;2023T1;29,85
Ambos sexos;Total Nacional;Menores de 25 años;2022T4;28,97
Ambos sexos;Total Nacional;Menores de 25 años;2022T3;30,39
Ambos sexos;Total Nacional;Menores de 25 años;2022T2;29,23
Ambos sexos;Total Nacional;Menores de 25 años;2022T1;30,04
Ambos sexos;Total Nacional;Menores de 25 años;2021T4;30,98
Ambos sexos;Total Nacional;Menores de 25 años;2021T3;31,66
