Tipo de dato;Grupos ECOICOP;Comunidades y Ciudades Autónomas;Periodo;Total
Índice;Índice general;Nacional;2018M12;97,329
Índice;Índice general;Nacional;2018M11;97,768
Índice;Índice general;Nacional;2018M10;97,875
Índice;Índice general;Nacional;2018M09;96,978
Índice;Índice general;Nacional;2018M08;96,742
Índice;Índice general;Nacional;2018M07;96,604
Índice;Índice general;Nacional;2018M06;97,302
Índice;Índice general;Nacional;2018M05;97,048
Índice;Índice general;Nacional;2018M04;96,181
Índice;Índice general;Nacional;2018M03;95,393
Índice;Índice general;Nacional;2018M02;95,281
Índice;Índice general;Nacional;2018M01;95,153
Índice;Índice general;Nacional;2017M12;96,190
Índice;Índice general;Nacional;2017M11;96,147
Índice;Índice general;Nacional;2017M10;95,710
Índice;Índice general;Nacional;2017M09;94,835
Índice;Índice general;Nacional;2017M08;94,670
Índice;Índice general;Nacional;2017M07;94,482
Índice;Índice general;Nacional;2017M06;95,138
Índice;Índice general;Nacional;2017M05;95,097
Índice;Índice general;Nacional;2017M04;95,154
Índice;Índice general;Nacional;2017M03;94,249
Índice;Índice general;Nacional;2017M02;94,269
Índice;Índice general;Nacional;2017M01;94,609
Índice;Índice general;Nacional;2016M12;95,132
Índice;Índice general;Nacional;2016M11;94,572
Índice;Índice general;Nacional;2016M10;94,230
Índice;Índice general;Nacional;2016M09;93,165
Índice;Índice general;Nacional;2016M08;93,161
Índice;Índice general;Nacional;2016M07;93,041
Índice;Índice general;Nacional;2016M06;93,723
Índice;Índice general;Nacional;2016M05;93,292
Índice;Índice general;Nacional;2016M04;92,785
Índice;Índice general;Nacional;2016M03;92,139
Índice;Índice general;Nacional;2016M02;91,552
Índice;Índice general;Nacional;2016M01;91,876
Índice;Índice general;Nacional;2015M12;93,663
Índice;Índice general;Nacional;2015M11;93,937
Índice;Índice general;Nacional;2015M10;93,595
Índice;Índice general;Nacional;2015M09;92,999
Índice;Índice general;Nacional;2015M08;93,286
Índice;Índice general;Nacional;2015M07;93,597
Índice;Índice general;Nacional;2015M06;94,474
Índice;Índice general;Nacional;2015M05;94,222
Índice;Índice general;Nacional;2015M04;93,774
Índice;Índice general;Nacional;2015M03;92,920
Índice;Índice general;Nacional;2015M02;92,331
Índice;Índice general;Nacional;2015M01;92,141
Índice;Índice general;Nacional;2014M12;93,646
Índice;Índice general;Nacional;2014M11;94,195
Índice;Índice general;Nacional;2014M10;94,261
Índice;Índice general;Nacional;2014M09;93,824
Índice;Índice general;Nacional;2014M08;93,681
Índice;Índice general;Nacional;2014M07;93,533
Índice;Índice general;Nacional;2014M06;94,421
Índice;Índice general;Nacional;2014M05;94,395
Índice;Índice general;Nacional;2014M04;94,373
Índice;Índice general;Nacional;2014M03;93,541
