Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;Total Nacional;1 de enero de 2022;47.432.893,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2021;47.398.695,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2020;47.332.614,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2019;46.937.060,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2018;46.658.447,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2017;46.527.039,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2016;46.440.099,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2015;46.449.565,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2014;46.512.199,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2013;46.727.890,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2012;46.818.216,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2011;46.667.175,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2010;46.486.621,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2009;46.239.271,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2008;45.668.938,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2007;44.784.659,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2006;44.009.969,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2005;43.296.335,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2004;42.547.454,000000
Ambos sexos;Total;Total Nacional;1 de enero de 2003;41.827.836,000000
Ambos sexos;Total;02 Albacete;1 de enero de 2022;387.759,511738
Ambos sexos;Total;02 Albacete;1 de enero de 2021;388.880,076037
Ambos sexos;Total;02 Albacete;1 de enero de 2020;389.873,871682
Ambos sexos;Total;02 Albacete;1 de enero de 2019;389.527,903657
Ambos sexos;Total;02 Albacete;1 de enero de 2018;390.337,051437
Ambos sexos;Total;02 Albacete;1 de enero de 2017;391.574,481514
Ambos sexos;Total;02 Albacete;1 de enero de 2016;392.957,543508
Ambos sexos;Total;02 Albacete;1 de enero de 2015;394.927,888577
Ambos sexos;Total;02 Albacete;1 de enero de 2014;396.683,528455
Ambos sexos;Total;02 Albacete;1 de enero de 2013;399.509,741104
Ambos sexos;Total;02 Albacete;1 de enero de 2012;401.590,189685
Ambos sexos;Total;02 Albacete;1 de enero de 2011;400.846,648077
Ambos sexos;Total;02 Albacete;1 de enero de 2010;399.447,695937
Ambos sexos;Total;02 Albacete;1 de enero de 2009;397.881,282447
Ambos sexos;Total;02 Albacete;1 de enero de 2008;394.521,177441
Ambos sexos;Total;02 Albacete;1 de enero de 2007;389.126,709165
Ambos sexos;Total;02 Albacete;1 de enero de 2006;383.458,351997
Ambos sexos;Total;02 Albacete;1 de enero de 2005;379.275,635914
Ambos sexos;Total;02 Albacete;1 de enero de 2004;374.717,192866
Ambos sexos;Total;02 Albacete;1 de enero de 2003;370.382,922001
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2022;1.904.314,912270
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2021;1.895.191,938537
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2020;1.885.559,326161
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2019;1.862.780,163416
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2018;1.845.469,565247
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2017;1.842.571,979429
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2016;1.842.445,506199
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2015;1.842.174,299592
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2014;1.850.624,438810
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2013;1.854.243,840917
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2012;1.853.208,863622
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2011;1.844.438,725104
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2010;1.840.085,089174
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2009;1.836.134,071574
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2008;1.817.518,513967
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2007;1.766.320,234509
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2006;1.713.934,018870
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2005;1.661.659,536551
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2004;1.602.173,608505
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2003;1.542.318,396148
Ambos sexos;Total;04 Almería;1 de enero de 2022;724.031,184966
Ambos sexos;Total;04 Almería;1 de enero de 2021;720.861,002804
Ambos sexos;Total;04 Almería;1 de enero de 2020;715.665,431978
Ambos sexos;Total;04 Almería;1 de enero de 2019;706.871,003921
Ambos sexos;Total;04 Almería;1 de enero de 2018;701.068,938576
Ambos sexos;Total;04 Almería;1 de enero de 2017;700.041,049213
Ambos sexos;Total;04 Almería;1 de enero de 2016;696.185,764790
Ambos sexos;Total;04 Almería;1 de enero de 2015;691.154,611325
Ambos sexos;Total;04 Almería;1 de enero de 2014;688.887,968134
Ambos sexos;Total;04 Almería;1 de enero de 2013;691.679,876344
Ambos sexos;Total;04 Almería;1 de enero de 2012;689.319,868180
Ambos sexos;Total;04 Almería;1 de enero de 2011;686.448,283175
Ambos sexos;Total;04 Almería;1 de enero de 2010;680.484,150374
Ambos sexos;Total;04 Almería;1 de enero de 2009;673.042,261362
Ambos sexos;Total;04 Almería;1 de enero de 2008;659.443,412749
Ambos sexos;Total;04 Almería;1 de enero de 2007;642.796,766656
Ambos sexos;Total;04 Almería;1 de enero de 2006;627.718,554698
Ambos sexos;Total;04 Almería;1 de enero de 2005;603.215,245535
Ambos sexos;Total;04 Almería;1 de enero de 2004;577.426,788886
Ambos sexos;Total;04 Almería;1 de enero de 2003;560.654,643395
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2022;329.797,624868
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2021;329.757,659719
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2020;329.872,997656
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2019;327.682,473603
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2018;325.739,243501
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2017;323.812,290490
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2016;321.803,829149
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2015;320.663,352688
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2014;319.894,997215
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2013;319.927,447896
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2012;320.566,288364
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2011;319.845,929069
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2010;317.737,066428
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2009;315.279,681403
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2008;310.944,310578
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2007;306.475,492101
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2006;302.480,776559
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2005;298.830,334945
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2004;294.303,579068
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2003;290.746,104396
Ambos sexos;Total;33 Asturias;1 de enero de 2022;1.006.234,077838
Ambos sexos;Total;33 Asturias;1 de enero de 2021;1.012.888,701348
Ambos sexos;Total;33 Asturias;1 de enero de 2020;1.018.899,172164
Ambos sexos;Total;33 Asturias;1 de enero de 2019;1.022.205,164301
Ambos sexos;Total;33 Asturias;1 de enero de 2018;1.027.624,311445
Ambos sexos;Total;33 Asturias;1 de enero de 2017;1.034.277,458784
Ambos sexos;Total;33 Asturias;1 de enero de 2016;1.040.924,879170
Ambos sexos;Total;33 Asturias;1 de enero de 2015;1.049.874,615766
Ambos sexos;Total;33 Asturias;1 de enero de 2014;1.058.975,030320
Ambos sexos;Total;33 Asturias;1 de enero de 2013;1.067.801,715597
Ambos sexos;Total;33 Asturias;1 de enero de 2012;1.074.303,918876
Ambos sexos;Total;33 Asturias;1 de enero de 2011;1.075.877,094410
Ambos sexos;Total;33 Asturias;1 de enero de 2010;1.077.103,046143
Ambos sexos;Total;33 Asturias;1 de enero de 2009;1.076.279,618864
Ambos sexos;Total;33 Asturias;1 de enero de 2008;1.071.081,353461
Ambos sexos;Total;33 Asturias;1 de enero de 2007;1.065.291,113191
Ambos sexos;Total;33 Asturias;1 de enero de 2006;1.063.487,788360
Ambos sexos;Total;33 Asturias;1 de enero de 2005;1.062.755,294130
Ambos sexos;Total;33 Asturias;1 de enero de 2004;1.062.407,746334
Ambos sexos;Total;33 Asturias;1 de enero de 2003;1.062.319,586740
Ambos sexos;Total;05 Ávila;1 de enero de 2022;159.036,874708
Ambos sexos;Total;05 Ávila;1 de enero de 2021;158.854,125984
Ambos sexos;Total;05 Ávila;1 de enero de 2020;158.895,358512
Ambos sexos;Total;05 Ávila;1 de enero de 2019;159.259,566436
Ambos sexos;Total;05 Ávila;1 de enero de 2018;160.032,411122
Ambos sexos;Total;05 Ávila;1 de enero de 2017;161.748,714731
Ambos sexos;Total;05 Ávila;1 de enero de 2016;163.650,309878
